id gender race side superspeed superhearing supervision flying invisibility icecontrol superhealing magicpowers spidersense superbrain
1 woman american hero 16 13 52 73 16 27 57 22 65 100
2 man european villain 55 35 78 77 0 83 63 1 46 38
3 man indian hero 40 85 47 99 54 34 82 30 28 79
4 man asian hero 68 0 45 74 23 67 49 65 62 10
5 man indian hero 68 72 29 30 61 39 77 16 98 55
6 man american villain 63 90 82 46 28 88 22 62 1 75
7 woman indian hero 92 98 12 41 54 25 86 62 81 78
8 woman asian hero 32 19 16 23 91 99 28 8 35 93
9 woman indian hero 74 33 94 90 97 58 49 100 60 25
10 man european hero 82 60 73 67 23 54 20 70 83 92
11 man european hero 4 49 3 75 7 0 78 28 43 56
12 man european hero 71 51 77 15 87 38 91 77 78 63
13 woman asian hero 44 12 86 100 66 27 40 70 79 74
14 woman indian hero 16 44 8 50 20 34 73 90 5 62
15 woman asian villain 39 44 69 72 25 38 55 62 40 84
16 woman indian hero 51 44 86 36 75 56 25 14 60 68
17 woman european hero 19 43 73 63 85 70 11 23 17 36
18 woman asian villain 53 69 8 68 12 5 39 4 54 45
19 woman european villain 6 83 72 100 4 56 81 94 64 76
20 woman european villain 33 91 59 11 6 70 32 12 42 39
21 woman american villain 91 63 54 8 92 27 66 67 54 16
22 woman american villain 44 53 91 41 83 12 88 18 64 91
23 woman european hero 88 29 37 85 39 100 17 34 89 40
24 man american villain 49 57 2 34 68 27 80 26 9 64
25 woman asian hero 64 13 13 16 10 79 100 68 55 1
26 woman asian hero 62 30 54 61 9 66 30 46 56 61
27 man american hero 87 65 48 50 30 68 30 29 11 29
28 woman european hero 3 46 77 38 74 63 83 58 92 66
29 woman asian villain 1 91 62 68 59 99 46 83 87 68
30 man asian hero 78 67 84 79 58 77 12 36 68 35
31 man european hero 41 71 4 25 11 64 21 69 40 66
32 woman european hero 38 13 74 22 10 64 75 75 37 81
33 man indian hero 9 96 5 46 60 94 40 17 45 60
34 woman indian villain 44 16 47 24 59 56 8 26 45 23
35 woman european hero 41 35 64 73 91 40 44 13 22 38
36 man american hero 24 70 35 53 45 15 88 27 6 80
37 woman american villain 68 5 77 56 62 1 21 59 8 77
38 man indian villain 97 43 18 94 97 15 17 55 9 89
39 man indian villain 30 79 66 54 71 54 67 25 66 52
40 woman indian villain 34 52 53 27 45 66 23 30 93 17
41 woman indian hero 41 100 57 16 4 74 42 54 63 40
42 woman indian hero 81 81 22 33 7 44 52 8 59 22
43 woman american villain 14 18 82 12 2 89 90 74 57 96
44 woman european villain 48 48 13 70 49 15 79 17 73 67
45 woman american villain 26 19 19 83 16 22 27 33 1 67
46 man asian villain 56 10 38 78 68 97 8 49 10 47
47 man american hero 64 68 20 80 90 64 55 12 31 47
48 man european hero 7 15 44 2 19 44 86 62 25 75
49 man indian villain 90 94 1 85 27 26 5 91 54 59
50 woman european villain 74 64 38 4 96 24 3 95 0 53
51 man american hero 29 42 32 29 73 51 19 93 64 62
52 man asian villain 86 23 54 85 15 9 69 25 67 68
53 man asian hero 3 13 93 51 84 89 61 93 19 65
54 man european villain 78 7 79 17 16 5 37 0 14 3
55 man american hero 9 38 55 22 93 95 40 48 27 80
56 man asian villain 99 32 63 26 23 69 59 82 54 59
57 man european villain 15 84 90 68 26 53 2 7 69 50
58 man european hero 37 56 94 25 62 14 2 66 48 19
59 woman european villain 76 88 32 22 12 54 8 87 93 63
60 woman asian villain 75 55 82 47 72 6 16 24 50 63
61 man american hero 92 77 92 76 30 17 62 91 14 38
62 woman asian hero 21 75 53 33 86 44 53 73 5 77
63 woman asian hero 60 63 21 69 61 78 68 62 94 32
64 woman asian hero 54 14 67 16 60 67 28 74 44 5
65 man european hero 24 1 38 41 25 49 49 81 93 91
66 man american hero 26 32 33 17 88 28 1 43 40 20
67 man indian villain 60 96 80 45 54 81 85 91 29 33
68 woman indian hero 81 62 6 33 81 61 24 7 31 81
69 woman american villain 90 43 99 82 4 27 19 67 7 32
70 woman american villain 45 82 87 79 23 37 40 84 21 76
71 woman indian hero 88 55 64 26 55 85 22 10 70 95
72 man asian villain 27 41 18 99 90 4 50 2 20 68
73 man european villain 39 1 81 22 41 21 94 33 28 6
74 woman american hero 85 19 43 18 36 59 48 47 36 94
75 man asian hero 79 24 96 76 30 50 75 21 0 12
76 woman american villain 89 17 86 6 26 96 100 86 71 48
77 woman indian villain 47 84 2 13 19 31 32 6 1 94
78 woman asian hero 39 43 62 99 90 41 19 93 30 57
79 man american villain 64 47 4 35 38 13 43 59 8 40
80 man european hero 22 56 15 47 67 17 5 35 69 30
81 man indian hero 90 23 36 12 53 7 65 13 34 21
82 woman american hero 76 68 99 70 41 87 95 14 54 80
83 man european villain 50 40 46 7 3 39 21 91 94 14
84 woman european hero 74 43 37 80 24 72 40 92 62 8
85 woman indian hero 28 27 75 15 63 11 44 27 21 32
86 woman indian hero 40 77 40 6 67 23 9 68 93 45
87 woman european hero 54 100 32 31 80 11 33 2 87 71
88 man european hero 93 34 66 98 37 71 13 45 31 7
89 man european hero 77 48 97 91 67 91 100 63 49 86
90 woman asian hero 76 61 15 47 38 92 99 98 98 50
91 woman american hero 55 76 59 95 1 48 77 22 84 83
92 woman indian hero 74 95 12 9 4 92 15 9 22 58
93 man indian hero 68 75 69 10 92 21 30 80 94 56
94 man indian hero 73 30 48 28 7 65 18 84 82 73
95 woman american villain 51 5 65 15 29 51 76 43 18 28
96 woman european villain 46 30 21 68 79 43 51 24 16 9
97 man american hero 60 57 23 93 97 12 100 21 30 81
98 man indian hero 85 72 24 4 13 75 27 81 77 48
99 woman american hero 19 94 70 88 77 66 35 99 68 65
100 man american hero 84 42 52 23 82 66 51 18 15 48
101 woman european villain 41 63 75 85 17 43 68 52 37 15
102 woman european villain 54 69 81 18 77 46 94 23 25 17
103 man european villain 82 15 28 44 57 34 54 5 85 63
104 woman european villain 6 81 49 80 32 2 64 21 89 12
105 man asian villain 54 57 99 100 48 55 0 42 82 1
106 man european hero 67 80 82 79 10 43 77 39 89 58
107 woman indian villain 14 60 5 17 20 95 32 15 9 6
108 man indian villain 26 75 19 11 59 56 35 42 26 64
109 woman american villain 19 0 60 35 65 24 84 49 31 15
110 woman indian hero 40 6 43 35 89 68 81 78 17 95
111 woman american hero 48 44 25 71 4 18 38 53 20 22
112 woman indian hero 40 94 69 36 97 90 23 42 57 50
113 woman asian villain 30 96 87 46 68 7 17 80 99 7
114 man indian hero 82 3 39 31 56 32 73 2 34 74
115 man american villain 27 55 30 75 24 40 53 37 2 64
116 woman european villain 27 56 61 12 84 77 73 78 84 12
117 man european hero 67 68 78 41 87 19 46 19 54 45
118 man american villain 86 39 15 76 68 38 13 97 18 12
119 woman european villain 28 59 24 62 77 25 2 3 77 6
120 woman asian hero 78 40 54 32 74 84 38 14 87 32
121 man american villain 78 2 51 52 40 95 58 41 51 71
122 man indian hero 75 11 13 21 67 77 8 6 33 60
123 man american hero 71 69 10 31 68 40 66 35 8 53
124 man asian villain 71 18 27 68 25 53 63 89 64 9
125 man indian villain 46 93 71 46 22 81 33 93 19 2
126 man indian hero 67 93 64 28 45 43 59 22 44 78
127 man asian hero 28 34 30 58 73 88 50 51 50 65
128 man american villain 58 93 28 65 56 98 57 69 22 10
129 man asian hero 2 4 15 6 21 77 38 21 78 60
130 man asian hero 90 85 65 29 1 46 16 16 44 99
131 woman american villain 57 3 37 47 39 67 98 50 16 2
132 man asian villain 22 94 54 3 13 96 7 15 83 44
133 woman asian hero 52 16 12 62 63 85 37 47 46 60
134 woman american hero 83 45 44 64 25 11 13 81 87 96
135 man american villain 21 27 74 71 40 61 9 55 56 42
136 man american hero 65 10 99 2 43 38 30 24 68 32
137 man asian villain 83 42 50 71 54 94 55 35 97 56
138 woman european villain 44 88 46 82 62 100 74 88 13 37
139 man asian hero 4 36 45 19 53 61 9 76 40 70
140 woman indian hero 1 14 36 26 16 54 43 13 11 97
141 man asian villain 68 45 66 92 26 68 67 92 16 26
142 man asian villain 86 30 67 64 67 71 58 10 46 63
143 man european hero 10 19 2 72 12 0 5 2 85 18
144 woman european hero 44 36 40 27 38 6 12 55 23 26
145 man indian villain 82 65 35 26 26 86 72 94 100 13
146 man asian hero 4 44 7 77 7 6 56 27 33 33
147 man american villain 33 51 78 65 0 3 5 59 93 43
148 man american villain 14 80 100 16 30 72 5 92 82 31
149 woman asian villain 80 1 71 32 90 99 49 70 21 51
150 woman indian hero 1 31 90 52 40 46 68 87 86 70
151 man indian hero 42 31 20 0 100 85 43 65 63 76
152 man european hero 57 72 34 77 0 71 37 36 17 65
153 woman asian villain 14 80 5 43 43 28 52 15 49 63
154 man indian villain 9 5 64 55 17 55 2 43 13 62
155 man american hero 20 47 36 13 5 31 4 53 2 22
156 woman asian villain 3 100 67 100 66 48 28 23 68 59
157 woman european hero 81 62 48 34 73 86 93 63 3 70
158 man asian villain 34 28 65 68 7 30 86 84 65 91
159 man asian villain 2 33 16 83 22 72 82 3 4 10
160 man indian hero 94 42 62 59 39 59 64 90 27 63
161 woman asian villain 98 1 43 95 62 100 31 93 94 44
162 man european villain 21 50 79 50 57 1 90 19 57 34
163 man american hero 44 93 21 10 86 17 25 12 55 74
164 man american hero 20 61 92 24 100 87 64 3 2 10
165 woman european villain 71 42 77 38 50 10 25 5 79 44
166 man european hero 15 64 79 49 20 83 8 53 35 70
167 woman asian villain 48 7 46 43 49 2 71 54 52 70
168 woman european villain 44 93 62 72 56 86 19 78 42 20
169 man european hero 65 97 32 0 94 45 27 66 98 85
170 woman american villain 23 99 29 93 49 35 27 70 97 79
171 man american villain 32 99 97 99 84 63 57 49 54 90
172 man asian villain 2 84 39 25 26 95 20 63 9 63
173 man american villain 42 89 80 53 63 93 34 13 10 31
174 woman american villain 1 10 18 21 3 94 31 95 14 86
175 woman american villain 67 82 32 81 98 41 45 40 33 47
176 man asian hero 26 11 91 9 40 21 74 1 49 66
177 woman european hero 10 28 47 24 49 72 47 84 44 61
178 woman american hero 64 16 78 50 66 34 76 74 7 26
179 man european hero 71 26 80 20 36 45 95 53 41 63
180 man european villain 76 83 55 22 76 18 59 61 4 33
181 man european hero 78 79 14 61 5 53 33 80 51 47
182 man indian villain 85 66 40 41 75 28 4 10 24 10
183 woman american hero 0 22 43 52 20 72 88 29 30 43
184 man european hero 83 11 19 89 73 87 71 24 3 47
185 man asian hero 64 60 83 86 59 7 59 15 17 100
186 woman asian villain 5 13 60 15 100 4 47 20 63 19
187 woman american hero 44 69 48 29 2 80 65 15 72 78
188 woman european villain 97 68 60 62 4 22 76 14 4 11
189 woman asian villain 92 68 6 94 30 54 36 39 52 5
190 woman european hero 48 11 76 51 20 10 33 60 65 36
191 man american hero 40 64 67 61 23 52 75 23 45 22
192 woman indian hero 45 67 9 26 94 10 5 37 74 10
193 woman indian hero 73 0 74 55 62 69 32 76 85 69
194 man american hero 7 99 79 46 62 81 76 5 44 64
195 woman american hero 16 26 67 31 12 74 34 20 4 66
196 woman european hero 49 41 44 21 71 23 49 96 100 23
197 woman asian hero 18 100 63 31 38 87 51 100 68 37
198 woman indian villain 87 54 3 78 49 11 82 88 23 1
199 man european villain 95 76 76 72 58 18 93 73 70 18
200 woman indian hero 99 16 37 30 55 96 30 75 9 49
201 man european hero 30 38 92 11 6 27 61 9 96 12
202 woman european villain 82 21 72 82 69 49 60 98 99 72
203 woman european villain 60 64 40 20 46 86 43 82 22 40
204 woman asian hero 9 90 50 61 11 46 39 58 72 7
205 man asian villain 26 66 76 1 2 100 51 27 24 11
206 woman european hero 22 8 69 22 15 4 39 87 26 78
207 man asian villain 18 60 97 37 11 81 56 73 90 1
208 man american hero 93 3 11 55 85 32 36 47 77 24
209 man american hero 56 83 90 67 7 37 12 61 100 18
210 man american villain 57 45 29 27 88 48 2 62 76 12
211 man indian hero 83 100 61 13 87 71 57 61 45 43
212 woman asian villain 92 93 3 100 86 98 15 69 29 29
213 woman asian hero 99 65 88 22 4 7 71 36 58 5
214 woman indian villain 30 20 54 57 46 55 70 54 41 45
215 man asian villain 11 2 54 7 24 76 53 53 93 79
216 man american hero 94 15 87 51 65 21 4 80 38 56
217 man european hero 32 47 56 31 15 52 51 33 16 43
218 woman european villain 55 62 74 49 2 71 53 20 48 8
219 man american hero 12 47 30 91 74 0 89 62 71 47
220 woman indian villain 2 42 22 32 49 57 5 58 71 79
221 woman asian hero 68 17 5 97 9 38 15 7 37 82
222 man european hero 11 58 96 13 9 55 59 51 35 88
223 man american villain 60 12 13 29 20 64 4 97 66 74
224 woman asian hero 63 60 65 77 7 42 74 68 27 68
225 woman asian hero 78 30 39 27 15 39 88 43 99 68
226 man european villain 49 85 89 94 79 19 18 85 61 35
227 man indian hero 36 67 24 40 1 68 86 5 96 6
228 man american villain 4 24 35 20 23 15 100 28 28 73
229 woman indian villain 12 7 99 91 97 59 51 17 42 58
230 woman asian hero 40 26 46 28 64 0 22 9 82 84
231 man american villain 10 67 72 68 17 91 89 8 56 55
232 woman indian villain 10 31 38 28 27 38 28 58 9 20
233 man asian villain 60 2 3 79 28 55 0 17 48 37
234 man american villain 8 66 42 61 39 98 11 95 73 62
235 woman indian hero 55 24 49 81 17 73 2 38 37 69
236 man indian hero 39 4 89 87 80 67 4 36 47 89
237 woman asian hero 37 46 1 14 76 36 81 41 70 5
238 man european villain 75 14 66 0 1 93 74 60 14 50
239 woman indian villain 24 27 43 38 87 49 16 69 1 70
240 man american villain 8 80 93 73 67 52 53 90 73 86
241 woman european villain 21 7 61 58 67 97 84 18 79 65
242 woman asian hero 87 45 65 48 5 97 89 85 55 76
243 man american villain 28 66 47 62 34 53 69 26 92 23
244 man asian hero 14 53 89 43 2 81 35 7 57 60
245 man indian villain 15 35 24 20 50 77 30 37 1 32
246 man asian hero 74 3 42 49 84 17 92 83 37 9
247 man american hero 99 91 22 7 30 37 34 71 76 90
248 man american hero 21 34 83 94 95 1 14 98 92 73
249 man american villain 49 74 90 93 78 33 48 70 19 9
250 woman indian hero 41 51 11 34 30 50 75 39 50 64
251 man asian hero 69 25 3 18 27 16 81 77 78 14
252 man indian hero 76 34 46 83 57 86 7 46 12 63
253 man american hero 72 66 16 71 2 96 84 48 72 73
254 woman indian villain 14 39 23 16 76 63 84 88 84 49
255 man american hero 73 1 80 31 80 83 15 61 76 57
256 man european hero 92 20 47 82 41 91 42 12 45 63
257 man asian hero 8 57 70 92 84 68 18 74 33 45
258 woman indian villain 54 53 69 28 13 75 66 19 100 73
259 woman american villain 67 78 5 61 93 59 99 84 47 75
